name,line
trump, Unfortunately the deal's been sitting with PERSON for a long time and what happened And she had a lot of pressure, especially from manufacturing areas, farm areas, a lot of pressure to sign it
trump, So here's what happens
trump, So I get along with labor
trump, I had a lot of union labor vote for me, tremendous amount of labor
trump, In GPE where I come from, we have a lot of unions
trump, And that's okay
trump, That's fine
trump, So we left a little stuff for the union because we figured to get it signed, we'll give a little bit and we did it and we have one great deal
trump, And now you have the ORGANIZATION trying to take credit for this deal and that's okay
trump, Whatever it takes
trump, For seven months, it sits
trump, They don't do anything
trump, We give
trump, And by the way, I spoke to the unions the day before I say, PERSON, you got to get it done
trump, And union labor loves me and I love you too sir
trump, I love you too sir
trump, So we have a great deal with GPE, with GPE
trump, And it is true
trump, I say it out loud because I say it to them right now
trump, If they ever wanted to break the deal, that's okay
trump, If somebody wants to break a deal with me, you always have to have an alternative, right And this country, the deals we made, we did a deal with GPE
trump, That's great
trump, We did a deal with GPE, 40 billion dollar deal with GPE
trump, It was just a little piece of a deal
trump, PERSON was a piece of a deal
trump, And I said to GPE, PERSON, you got to make this deal or we're going to put a 20 tariff on the cars
trump, And that's more money than anything we're talking about
trump, That's all right
trump, That's all right
trump, That's all right
trump, Get her out
trump, GPE her out of here
trump, PERSON well
trump, You're about to hear the greatest speech you've ever heard
trump, And that's going to be the publicity because all the fake news back there will say massive riot… Massive riots
trump, ORGANIZATION news
trump, But seriously, look, look, look, they won't say it
trump, They won't say it, because when we have protesters all in favor, they don't talk about it, but there's a slob
trump, There's a real slob
trump, GPE, wait a minute
trump, She'll get hell when she gets back home with mom
trump, But she made… PERSON, she screams a little bit
trump, And you know what I like to do Avoid them
trump, Because I'll tell you the big problem
trump, I could hardly hear her
trump, What happens is all of you people go crazy
trump, PERSON, look, look, and the place
trump, PERSON, so there's one disgusting person who made… PERSON, wait, who made a… I wouldn't say this, but made a horrible gesture with the wrong finger right Now they won't say that, the fake news, they won't say it
trump, If one of us did that, it would be like the biggest story ever
trump, I think it's terrible
trump, And I'll tell you the other thing, I don't know who the security company is, but the police came up, but they want to be so politically correct so they don't grab her wrist lightly and get her out
trump, They say, Oh, would you please come Would you please come with me Sure
trump, Ma'am, would you And then she gives the guy the finger and he, Oh, Oh
trump, You got to get a little bit stronger than that, folks
trump, And they… 
trump, Making another group of tariffs, seven and a half percent
trump, This gives us a lot of currency to do the phase two deal, which they want to start, but we're taking in billions of dollars and to help the farmers who were targeted, 16 billion and 12 billion the previous year, helps the farmers
trump, So you know what we do, out of that big check that we get, all that money flows into the treasury
trump, Out of the big check, we gave the farmers 16 billion dollars and 12 billion for the previous year
trump, And you know, the incredible thing, and I was with a lot of farmers
trump, I was with a group of 36 farmers at the FACILITY
trump, You know what they said to me I said, Don't worry about it
trump, We're going to take care of you guys
trump, And I used a bad word
trump, You know what word I used We're going to get you a subsidy
trump, And they said this two years ago, I said, How much were you targeted for This was the first year
trump, 12 billion, sir
trump, The second year was 16
trump, They were target
trump, That's what they didn't get from GPE
trump, So I said, It's all right, we're going to give you a subsidy of the same and we're going to take it out of the tariffs and we're going to have billions and billions of dollars left over
trump, And they said, PERSON, we don't want money
trump, We just want a level playing field
trump, I've never seen that before
trump, I've never seen that before
trump, So we will have invested in our military, since I'm here, which is less than three years
trump, Our military, by the way, in all due respect to the previous two administrations, our military was depleted
trump, It was depleted
trump, It was in bad shape
trump, We had fighter jets that were 35 years old
trump, We had planes that were 60 years… You heard where the father flew them, the grandfather flew them, and now the young son comes in
trump, We've got the best equipment in the world now
trump, Spent two and a half trillion dollars, made in the ORGANIZATION
trump, Two and a half trillion
trump, We will shortly
trump, That'll be all finished
trump, We're going to have the greatest… Now we have the best planes
trump, We're going to have the best ships
trump, We're building a lot of ships now
trump, We're building the most powerful weapons in the world
trump, Now, we don't want to even talk about it
trump, We never want to use them
trump, But you know, the way we're not going to have to use them is if we have them
trump, We're building submarines, the power of which nobody's ever seen before
trump, PERSON's ever seen before
trump, It's funny, we have these companies come in
trump, I like to make good deals
trump, You like to make good deals
trump, That's what we do, right So these really countries that come in, prime ministers, presidents, sometimes dictators, those we can't deal with too much
trump, PERSON, we'd like to buy a nuclear submarine
trump, I say, No thanks
trump, I turn them all down
trump, You have no idea how many people… But we're building some of the… They're the most powerful weapons ever made by man or womankind
trump, I say mankind and womankind
trump, They can definitely fight
trump, They're the real deal
trump, These guys, so good looking
trump, I said, You could be a movie star
trump, GPE to GPE
trump, ORGANIZATION sir
trump, I like doing what I'm doing
trump, So I said to these guys, you going to see, just like central casting, I said, I said, GPE, how good is this plane They said, PERSON, it's great
trump, Why Because the enemy can't see it
trump, That helps
trump, PERSON
trump, It's actually called super stealth
trump, So I said, You mean they can't see, so you shoot at them but they can't… He said, They have no idea where we are, sir
trump, I said, That sounds good to me
trump, PERSON does it
trump, Nobody can do it
trump, We have the whole thing and we bought in a lot of those planes, we bought in a lot of great stuff
trump, And I won't tell you the story, but very early on I thought we were going to have a problem someplace, and one of the generals came up to me and said, PERSON, don't go
trump, Don't do it
trump, Why We don't have the ammunition
trump, And I said two things
trump, I never want to hear a President
trump, Right We never want to have a President hear that again, nor do we want a President to have to go through the crap that we were going through back then
trump, But, another thing we did, which to me is such an incredible thing to have done
trump, It's such an honor
trump, So our last ORGANIZATION, the last branch was the FACILITY, right That was many, many decades ago
trump, We are now building and we have now gotten funding for the sixth branch of the GPE ORGANIZATION, The ORGANIZATION
trump, So I'll be able to tell my kids someday and everybody else, PERSON that PERSON That was my baby
trump, And you think that was easy That's not easy
trump, Because you have Democrats that do not like our military
trump, They do not like our military
trump, And we did something yesterday, because for three years I would see people that run… ORGANIZATION people, the heads of the ORGANIZATION and ORGANIZATION in the country
trump, And every year they'd come in and they'd be looking for help
trump, They needed help and they do need help with it and it's great and they do an incredible job
trump, So many great schools, but they need help
trump, And every year they'd have to come and come
trump, I got to know them actually
trump, I said, The only bad thing is you won't see me too much anymore
trump, Because we just provided record funding for a nation's Historically Black Colleges and Universities
trump, And it's longterm, they're not going to have to come
trump, So I said, PERSON, we could do it where we do it every year or we'll do what we have
trump, What do you want They said, Let us just have it
trump, So we'll miss them
trump, But they are great people
trump, They've done an incredible job
trump, And our extraordinary jobs boom, which created another 266,000 jobs last month, and then you add the undercount from the previous two months, you're close to 300,000 jobs
trump, And they said, if you're a business watcher which I am, I love watching business, but they said they were guessing, could be 70,000, could be 80,000, maybe 90, maybe 110, somebody said
trump, Then the number comes out, 266,000 with an adjustment
trump, Remember about four months ago when we had one little period, right We had one little period where there was a little downturn
trump, They said, GPE, GPE, we think we're going into a recession
trump, I said, Don't worry about it
trump, We think we're going into a recession
trump, They were willing to lose their wealth
trump, They were willing for this stocks and whatever the hell they own, what do you guys own back there Let it go
trump, They'll go bust
trump, They don't care
trump, Anything to get rid of us
trump, Not me, us
trump, And you know what Then all of a sudden, and now for the last couple of weeks, we've set brand new records in the history of the various stock markets
trump, So, as of yesterday, we've had 133 record days in the stock market now, and that's in less than three years
trump, So when I see that I don't care because I don't… I'm not allowed to have stock
trump, I can't have stock
trump, They consider it a conflict of interest and that I can understand
trump, I agree
trump, I can
trump, But you know what I'll tell you what
trump, What I see, I see tremendous job growth because we're setting records
trump, But you know what I also see The 401ks where people are up 90, they're up 97, they're up 82
trump, I tell you the story all the time
trump, I mean, I have people coming up to me, and a man came up, a policeman
trump, I've told this story, but I've had many, so many times, but this guy in particular, because it was early and that was a year ago
trump, That was a long time ago
trump, Right now it's much higher than that
trump, But he said, PERSON, I want to thank you
trump, My wife thinks I'm a loser
trump, All my life, we never did well with the 401ks, with stocks
trump, Everything I invested, I'm up 72, sir
trump, She thinks I'm a financial genius
trump, She's so in love with me
trump, She so in love
trump, He said, She said, ‘Darling, I think you're one of the greatest investors
trump, Why don't you do this professionally' And I don't even know what I'm doing, sir
trump, I just have all these stocks
trump, So I just wanted to tell you, I look at a 401k, who has 401ks here So that's what I see
trump, I don't care about the rich ones
trump, I care about everybody
trump, I care
trump, I care about everybody actually
trump, ORGANIZATION motor company just announced that it is investing 1
trump,5 billion dollars into auto factories in the GPE area, creating another 3000 Michigan jobs
trump, And that's on top of the many other investments we've gotten from GPE companies, car companies, and other companies
trump, But they're all coming in and a lot of them are coming to PERSON
trump, And I say, PERSON, go to PERSON
trump, Sometimes they'll go south and that's okay, whatever
trump, I want them in this country
trump, But ideally I want to fill them up
trump, We're doing so well in GPE with the auto companies
trump, Now you're back
trump, You're back
trump, So, you're back
trump, GPE proud of you
trump, GPE proud of you
trump, But while we're creating jobs, fighting for ORGANIZATION workers, and achieving numbers that you've never seen before, incredible victories for the GPE people are happening
trump, The radical left in ORGANIZATION is consumed with hatred and envy and rage
trump, You see what's going on I'll tell you, these people are crazy
trump, You ever hear, It's the economy, stupid
trump, You know that was PERSON's saying
trump, If you have a good economy
trump, I have the greatest economy in the history of this country and nobody talks about it
trump, Nobody talks about it
trump, If you're a Democrat, they say,  Oh, it's the economy… If the economy's any good
trump, And let me just tell you a little secret
trump, If crooked PERSON would've won, your economy would have crashed
trump, You were going down
trump, The regulations were taking it down
trump, The taxes were taking it down, instead of being up 92 or whatever you're up, a lot, you would have been down, you would have been at less than half
trump, It was crashing
trump, For all those people that would say, Oh, it's the Obama… Let me tell you something
trump, You were dying
trump, And if you look at that first period of a couple of months, it was a disaster, but it was heading south
trump, And as sure as you're standing, and I'm sorry we couldn't get you seats, we didn't have any room
trump, And by the way, 20,000 people outside had to leave
trump, You know It's so cold outside we told them, Don't worry about a screen, go home, go home and watch
trump, But we had, this is about a 5,500 seat arena
trump, And I said to my people, Why so small Are we spoiled I watch these guys come in like PERSON, he has a big rally and they get 93 people show up
trump, No, it's true
trump, I don't understand it
trump, And did you see the new polls from ORGANIZATION Today came out I'm killing everybody
trump, And they hate me
trump, ORGANIZATION Today hates me
trump, But there's a poll, we're beating everybody
trump, But, so PERSON has this rally, they've got 200 seats, but only a small number of people
trump, So you know what they do They set up a round table
trump, GPE think of these people
trump, They come in, they think they're going to listen to the speech, they end up sitting on a round table discussing… They must've been happy, right We don't have enough room for round tables
trump, I'm sorry folks
trump, No, they set up a round table but I think we're doing great
trump, And how do you beat what we've done With the economy, with our great vets, with choice
trump, You've finally got choice
trump, They've been trying to get it for almost 50 years
trump, Four more years
trump, Four more years
trump, Four more years
trump, Four more years
trump, Four more years
trump, Four more years
trump, And these people back here Your seat or stand is better
trump, PERSON But you know what They're going to be much more famous because the cameras can't see you
trump, They can only see them
trump, And the other thing, the cameras, do you ever notice, I go to these stadiums, 25, 30,000 people
trump, They never show the crowd
trump, You know why Because they don't want to have… If crazy ORGANIZATION, if crazy ORGANIZATION goes to the middle of ORGANIZATION or whatever
trump, She's in GPE
trump, You got me
trump, And people, I mean, I could have, I could have PERSON go into ORGANIZATION and he'd get a crowd that would be just as… He's 13
trump, He'd get a bigger crowd
trump, But if she has the crowd, Oh, these crowds are so big
trump, I've had crowds over the last couple of weeks
trump, We went to different GPE, GPE
trump, But I mean thousands and thousands of people can't get into these NBA arenas, right Big arenas
trump, And we set records at everyone because we use the floor
trump, GPE you
trump, I appreciate it
trump, But we use the floor, right The basketball court
trump, So we set records at every arena
trump, They never even mention the crowds
trump, They never mention the crowds
trump, It's sort of amazing
trump, You know what I don't think we've ever had an empty seat from the time I came down the escalator
trump, That's a long time ago
trump, I don't think we've ever had an empty seat
trump, Now what the crooked media does though, if you got like over here, look how packed it is and there's thousands outside, but I… Please go home
trump, You're going to catch pneumonia
trump, But here's the thing
trump, If this man and that beautiful woman happened to get up because they want to go to the bathroom, those cameras will turn to those two seats and they'll say PERSON wasn't able to fill up the arena
trump, I always get nervous when I see some… I know they're coming back
trump, PERSON ever leaves our speeches
trump, Because is there a better place to be in the world than a Trump rally But every time I see a man get up, I see a beautiful woman with a baby and they're getting up
trump, The baby's going crazy and they're getting up
trump, They're going to take it… But I know they're going to be right back
trump, And I say, PERSON those two seats
trump, I don't want them to see it
trump, Because they'll say, PERSONn't fill up the arena
trump, These are truly dishonest people
trump, After three years of sinister witch hunts, hoaxes, scams, tonight the ORGANIZATION Democrats are trying to nullify the ballots of tens of millions of patriotic Americans
trump, Capped off with one of the greatest election evenings in history
trump, GPE that the greatest Remember when they all said, remember when they all said, GPE, no
trump, You can't win PERSON
trump, You can't
trump, Then I went, I did one in GPE, right GPE
trump, We had 32,000 people that night
trump, It was one o'clock in the morning
trump, That means it was PERSON Day when I started speaking
trump, PERSON, PERSON, PERSON, and PERSON, they did an emergency trip
trump, They did an emergency trip to PERSON at six o'clock
trump, They got here at prime time
trump, They started to speak
trump, She had 500 people
trump, I got here at one o'clock in the morning the next day, which is now ORGANIZATION Day
trump, PERSON many people were there 32,000 people outside, inside
trump, It was the last speech of GPE
trump, And they say, Well, sir, it's very hard to win PERSON
trump, I said, Why would it be hard Here's the beautiful thing
trump, Everything I told you I've done, but much more so
trump, I said I was going to bring car companies back
trump, I said I was going to bring in… I just hope you people know that
trump, I just hope you know it
trump, But I'll never forget that night
trump, And in all fairness to PERSON, he used to be a friend of mine until I ran for office
trump, I like him, I like him
trump, But he told, you know the way they tried to shut him out, right Because he's a pro
trump, He's an instinct guy, right He's instinct
trump, He doesn't need… Right Because he's a pro
trump, He's an instinct guy, right He's instinct
trump, He doesn't need polling companies
trump, Who the hell wants him You know, if you want a polling company, pick up the newspaper
trump, The problem is the newspaper polls are more fake than the news they write
trump, They write fake polls
trump, It's true, they write fake polls
trump, You call them suppression polls
trump, You read them and you get depressed, because it looks like you're doing badly
trump, They do that
trump, I think it's almost worse than what they write, and you can't get much worse than what they write
trump, So what happens is PERSON PERSON said to PERSON, his very dishonest wife, PERSON
trump, Do you think he calls her Crooked Hillary He might
trump, Maybe he just calls her crooked He said, GPE, I'm telling you
trump, GPE, I don't like what I'm seeing in GPE
trump, I don't like what I'm seeing in GPE
trump, He said, I took the trip to PERSON and I'll tell you what, they had those TrumpPence signs all the way to the convention area, every lawn, every loan
trump, I don't like PERSON
trump, And then he said, GPE, don't worry about it
trump, What the hell does he know They told him, What do you know Remember, they shut him out at the … They didn't want him talking
trump, He was right
trump, I mean, I don't want to cause any problems in the family, but he was right
trump, But he talked about PERSON
trump, Then he talked about PERSON
trump, He said, GPE, I'm telling you, GPE, I don't like what I'm seeing in GPE
trump, I was in GPE and I'm telling you, they had those damn signs
trump, I saw some houses where they had four of them on one lawn, and two of them on the car
trump, And he said, You horrible human being
trump, You'd better start listening to me, because you're going to get your ass whooped And you know what happened You know what happened She didn't listen, fortunately
trump, And she didn't come to PERSON enough
trump, And she didn't come to GPE, I think at all, right Because her polling data looked good
trump, It looked good to me, too
trump, GPE time I went there with these crowds
trump, So we won PERSON
trump, We won PERSON and the great PERSON … where is PERSON is PERSON, she was so horrible
trump, I didn't know her, PERSON, and she was so aggressive
trump, She kept calling and said, Could you please come out to Michigan I said, Who the hell are you And I said, What do you mean, another trip So anyway, I made, we had these big crowds
trump, I made it again
trump, Then finally I said, two weeks out, I said, PERSON, no more
trump, We're going to win it or we're not
trump, PERSON
trump, 00 in the evening for this final deal in GPE Rapids
trump, PERSON, could you come to GPE tonight And I thought, I was just about finished
trump, I went to a last great state, and I said, It's over
trump, Now I sit back and I watch, and let's see what happens, right But she said, Could you come to Michigan I said, that is the most aggressive human being I've ever met
trump, And we did it
trump, And we won PERSON
trump, And the word is that we're much higher right now in the polls than we were ever in 2016 in GPE
trump, You better remember when you walk into … you know, it's November 3rd this time, November 3rd
trump, By the way though, that evening, that incredible evening in November, one of the biggest nights in the history of television
trump, You never hear them say it, so I might as well
trump, That election … and my debates … you see their debates are dying
trump, Who wants to watch PERSON, PERSON PERSON You know that you pronounce it they say … I heard some guy saying, GPE, no, because it's an unpronounceable name
trump, That's why they call him Mayor PERSON, right Mayor PERSON
trump, PERSON
trump, PERSON I've had you up to here, PERSON
trump, GPE, PERSON is leading
trump, How does … no, you say it this way
trump, You say it … they call him Mayor PERSON, because nobody can pronounce his last name
trump, That's the only … people think it says … by the way, you know what I'm not going to say bad things about him
trump, You know why I'd love him to win
trump, I thought I knocked off ORGANIZATION
trump, I did it a year too early, a year too early
trump, I give her credit, she then started to come back
trump, I don't think she's going to make it though
trump, She's gasping
trump, She's gasping for air
trump, But I saw them pronouncing PERSON, and they said, Here's what you do, boot edge edge
trump, PERSON, PERSON, like the edge of a building
trump, GPE edge, PERSON
trump, PERSON
trump, GPE
trump, You got to be older to know what that means
trump, But congressional Democrats are directly attacking 2
trump,3 million Michigan voters who rose up in 2016, won the state, and now the ORGANIZATION are very upset
trump, They want to get PERSON back
trump, They just don't know how to do it, because they didn't do a thing for PERSON
trump, They didn't do anything for PERSON
trump, All they did was take away your companies and let them go to GPE and other places
trump, You know, I don't know if you know it, GPE has 32 of your car business
trump, You know that, right Not because of me
trump, They're not moving
trump, But GPE has … 32 of our car business moved to GPE
trump, Can you believe this Before I got there, but that's what I used to talk about
trump, I said, when I was honored that night, I said, How do you let this happen How do you let all these companies leave It used to go, … it's probably maybe the single biggest reason I ran for president
trump, It might be the … and I had a lot of them
trump, GPE, I had a lot of them, but that may be the single biggest
trump, With today's illegal unconstitutional and partisan impeachment, the do nothing Democrats, and they are do nothing … all they want to do is focus on this, what they could be doing … are declaring their deep hatred and disdain for the GPE voter
trump, This lawless, partisan impeachment is a political suicide march for the ORGANIZATION
trump, Have you seen my polls in the last four weeks It's crazy
trump, It's crazy
trump, You know why Because people, we have an election right down the road
trump, I announced three months ago that I'm running, right I'll give you a little clue
trump, I announced because I figured once I announce, they'd never impeach, nobody would be so stupid
trump, But they'd been trying to impeach me from day one
trump, They've been trying to impeach me from before I ran, okay Because if you remember when I ran, I went immediately to number one, never came off number one
trump, We had center stage from day one in the debates
trump, So we had, I don't know, 14, 15 debates
trump, We had a total of 18, actually
trump, PERSON forgot there was one that they never talk about it, but that's okay
trump, But we had 18 people, and I was center stage
trump, And I said, PERSON a minute, this is no good
trump, I want odd numbers, because of your center stage, if you have a 10 that means two people are in the middle
trump, So I said, Make it 11 or make it nine, or I'm not showing up
trump, And generally they did it, because we were way ahead from the beginning
trump, But I made a lot of great friends out of that group, and many of them are good friends today
trump, Although you wouldn't know it based on the … they say that was the meanest … that was a pretty mean primary, you got to say
trump, Wasn't that fun I liked it
trump, Through their depraved actions today, PERSON's ORGANIZATION Democrats have branded themselves with an eternal mark of shame, and it really is
trump, It's a disgrace
trump, GPE lawmakers do not believe you have the right to select your own president
trump, They think that the GPE swamp, which we believe it or not, it ain't easy, because they got so much stacked, including these guys
trump, You know what These guys are apart of the ORGANIZATION
trump, They are a part of it
trump, You might as well call them Democrats
trump, You know, it's owned by ORGANIZATION
trump, They're just as bad as ORGANIZATION, or they're just as bad as ORGANIZATION
trump, And by the way, ORGANIZATION and ORGANIZATION, their ratings are down the tubes
trump, It's great
trump, I love it
trump, I love it
trump, But they think the GPE swamp should be able to veto the results of an election
trump, That's what they think
trump, There's never been a time like this
trump, PERSON of it, you have the greatest economy in the history of the world
trump, Other countries come to see me, all of their leaders, and they say, PERSON,  first thing, PERSON, congratulations on your economy
trump, We're trying to do the same thing
trump, GPE, sir
trump, And these guys don't like talking about it
trump, And if they do, they say, PERSON did it
trump, GPE, PERSON, PERSON
trump, PERSON said, You will never be president
trump, He will never be president Then remember he said, I will consider it a personal front if you allow him to be president And then I became president
trump, He wasn't so happy
trump, And in all fairness, he campaigned harder than PERSON, because he had more strength
trump, I mean, I go to these places, ORGANIZATION, they take me
trump, I haven't seen a lobby in three years
trump, It's true
trump, I go through basements
trump, I pass compactor plants
trump, I know more about compactors from this job
trump, I don't see lobbies
trump, I say Fellows, you think you could ever maybe take me through a lobby No, sir
trump, But I'll tell you what
trump, I go upstairs, downstairs, all around
trump, They're taking me up three flights, go down one
trump, I said, Are we almost there Yes, sir, another four flights
trump, And I say, You think PERSON could do this I don't think so
trump, They'd bring her back home
trump, She wants to go to sleep
trump, And now I hear she wants to run again
trump, Wouldn't that be great Oh
trump, GPE you
trump, GPE you
trump, PERSON would we love that You think the ORGANIZATION are screwed up ORGANIZATION until that happens
trump, Wouldn't that be … Oh, there's my guy
trump, PERSON her up
trump, PERSON her up
trump, PERSON her up
trump, ORGANIZATION look, based on the ORGANIZATION report, you just saw what happened with the ORGANIZATION, where they came out with the ORGANIZATION
trump, Based on that, you know what I never stopped you
trump, But now, think of what they did
trump, PERSON of what they did
trump, PERSON of how dishonest it all was
trump, They shouldn't even be allowed to have an impeachment, because it was based on dishonesty
trump, It was based on illegality
trump, She went out, and they paid for a fake dossier
trump, They gave money to foreigners to write a fake dossier, totally disproven, totally fake
trump, The ORGANIZATION then took that fake dossier and they used it in the ORGANIZATION to get approval to spy on my campaign
trump, And if we were ORGANIZATION, they would've been in jail two years ago
trump, It's a disgrace
trump, PERSON of what they did
trump, So they use this fake dossier, and they brought it before this big deal court
trump, It's a big deal, the ORGANIZATION
trump, And they said this stuff, and they lied about it, because ORGANIZATION, who's another beauty … did I do a great job when I fired his ass What a great job
trump, Oh no, they had bad plans
trump, GPE, I did a great thing
trump, That was like throwing a rock at a hornet's nest
trump, PERSON that place explode And then we learned about PERSON, and her wonderful lover, PERSON
trump, I love you Lisa
trump, I love you more than anybody in the world
trump, I love you more than anybody in the world
trump, It causes problems with the wife, but we won't talk about that
trump, Those tapes didn't work well
trump, GPE, how about those statements, right And then they say, In all fairness, … I really liked the report, but how does the Inspector General say … because don't forget, he was appointed by PERSON
trump, So I'm not knocking him because he gave us a lot of nuggets, but we had a lot of those nuggets
trump, How does the Inspector General say, You have these horrible … he's going to lose
trump, Isn't he He's going to lose, or she's going to win 100 million
trump, Did you see all the zeros It was like … I'm blinking
trump, I says, I think it's 100
trump, He's going to lose 100 to one
trump, Isn't he PERSON I love you so much, PERSON
trump, I've never loved anyone like you
trump, He's going to lose 100 million to one, PERSON, right That's right
trump, He's going to lose 100 million to one
trump, But there's no bias
trump, How about the insurance policy To me, the greatest
trump, Just in case she loses, we have an insurance policy We're in the insurance policy right now folks We've been in it for three years, that's what they meant
trump, I mean the insurance policy is on an artificial respirator, because we're doing awfully well
trump, And I'll tell you something, PERSON said it
trump, PERSON said it
trump, PERSON said it
trump, PERSON said it
trump, PERSON said it, but a lot of people have said it
trump, They said, There's nobody in the world that could have handled that stuff that happened, and still created one of the greatest economies, and done more than any other president ever before in the first three years
trump, I understand that
trump, I understand that, but it's my life, very unfair to my family
trump, I have to say this very, very unfair to my family
trump, What they put my family through is a disgrace
trump, GPE, it's my life
trump, It's fine
trump, I do
trump, But you know what What they put my family through is a disgrace, and they ought to be ashamed, and we should get apologies all over the place
trump, So yesterday I sent PERSON a letter denouncing and condemning her party's outrageous abusive power
trump, That's what it is
trump, They have nothing
trump, They're the ones that should be impeached, every one of them
trump, I mean you got this guy, PERSON
trump, He makes up a statement, and he goes in front of ORGANIZATION where he has immunity, and he makes up a statement from me that's totally fictitious, totally out of thin air
trump, The worst statement I've ever heard
trump, Many people saw it
trump, I had a person two weeks ago that said, I didn't love the statement you made
trump, I said, PERSONn't you read the transcripts I always say, Read the transcript
trump, But didn't you read it No, no
trump, I heard it on television
trump, I watched PERSON
trump, He made it up
trump, I then sent him the transcript
trump, He said, GPE, now I feel better
trump, That's perfect
trump, I call it perfect
trump, He called it perfect
trump, PERSON calls it, if you read it
trump, But here's the thing
trump, He makes up this statement, and it finished
trump, Didn't he have eight quid pro quos Eight
trump, Could you imagine, you're dealing with a country, and you say eight times that you've got to do something
trump, The first time they say, Well
trump, The second time they say, That's strange
trump, GPE time they say, What's wrong You said eight times Eight times
trump, They'd have you arrested
trump, They'd have you put into an insane asylum
trump, But he actually said … I think he said eight, not seven, eight
trump, And then he finished with, Don't call me, I'll call you
trump, Can you imagine The President of the GPE, Don't call me, I'll call you
trump, You know what that is That's a mafia statement, okay That's the head of the mafia saying, Don't call me
trump, This guy actually said that, and then he walked away and people became incensed, because they knew that wasn't the people that read the thing
trump, Most people believed him
trump, He's a liar Because you know, he's a corrupt politician, 100
trump, GPE, he's a corrupt … and then I see him
trump, By the way, you ever see this guy He walks up to the mics
trump, I mean, we're not … all fairness, look, I don't want to be … because with PERSON, I never even think about looks anymore, okay I don't talk about looks of a male or a female, but in his case, let's just say … the last time I'll ever refer to this
trump, He's not exactly the best looking guy we've ever seen
trump, GPE, any mic
trump, He walks up to the mic, and he's so just, This is a sad, sad day for GPE
trump, Our president is an employee of GPE
trump, I have absolute proof that the president, this is at the beginning, and every week they'd say, PERSON's the proof It's coming
trump, It's coming
trump, Then we get the ORGANIZATION report, nothing
trump, And I'll tell you what, I know some of the people in this audience
trump, If I spent not 45 million, not 18 Trump haters, I call them the angry Democrats
trump, It was 13, then it went to 18, and then PERSON
trump, PERSON do a good job Did he do a good job ORGANIZATION was his performance in front of ORGANIZATION Not the best, but think of this, 45 million they spent
trump, And you know, I heard somebody say, Well, we got back some of that money
trump, Let me tell you, you cost this country billions, and billions, and billions of dollars in all of the things that didn't get done, in all of the embarrassment to our country
